Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,2/5,2.7474478975315667e-06,0.0002857345813432829,0,0,1480.4444444444443,18956.851448533514,CDK6;CCND1
Reactome_2022,Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,2/17,3.723204414400794e-05,0.0012907108636589,0,0,295.9111111111111,3017.8023474852107,CDK6;CCND1
Reactome_2022,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,2/17,3.723204414400794e-05,0.0012907108636589,0,0,295.9111111111111,3017.8023474852107,CDK6;CCND1
Reactome_2022,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,2/36,0.0001714937660463913,0.0039780129379099,0,0,130.4248366013072,1130.9090161319034,CDK6;CCND1
Reactome_2022,Diseases Of Mitotic Cell Cycle R-HSA-9675126,2/38,0.00019125062201490235,0.0039780129379099,0,0,123.16666666666669,1054.5438650851984,CDK6;CCND1
Reactome_2022,Cyclin D Associated Events In G1 R-HSA-69231,2/47,0.0002932930686478756,0.0050837465232298,0,0,98.4888888888889,801.141932597962,CDK6;CCND1
Reactome_2022,Translation R-HSA-72766,3/281,0.0004164704427743643,0.005165443665166,0,0,26.588579136690647,206.9573922010754,EIF3K;MRPL47;PABPC1
Reactome_2022,"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",2/58,0.00044700954794706256,0.005165443665166,0,0,79.09920634920636,610.0866893648016,EIF3K;PABPC1
Reactome_2022,Translation Initiation Complex Formation R-HSA-72649,2/57,0.0004317248461169507,0.005165443665166,0,0,80.54141414141414,624.012494544775,EIF3K;PABPC1
Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,2/108,0.0015392498663643,0.0160081986101894,0,0,41.683438155136265,269.96112325022307,EIF3K;PABPC1
Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,2/116,0.0017726184138619,0.016759301367422,0,0,38.74269005847953,245.4464673026705,EIF3K;PABPC1
