Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389)	2/35	1.620149e-04	3.288902e-02	0	0	1.343838e+02	1.172878e+03	CDK6;CCND1
GO_Biological_Process_2023	Cell Cycle G1/S Phase Transition (GO:0044843)	2/52	3.592268e-04	3.568370e-02	0	0	8.861778e+01	7.028769e+02	CDK6;CCND1
GO_Biological_Process_2023	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	2/63	5.273453e-04	3.568370e-02	0	0	7.259745e+01	5.479405e+02	CDK6;CCND1
GO_Biological_Process_2023	Mitotic Cell Cycle Phase Transition (GO:0044772)	2/111	1.624899e-03	4.201010e-02	0	0	4.053007e+01	2.602967e+02	CDK6;CCND1
GO_Biological_Process_2023	COPI Coating Of Golgi Vesicle (GO:0048205)	1/5	2.747205e-03	4.201010e-02	0	0	4.996250e+02	2.946374e+03	TMED10
GO_Biological_Process_2023	COPI-coated Vesicle Budding (GO:0035964)	1/5	2.747205e-03	4.201010e-02	0	0	4.996250e+02	2.946374e+03	TMED10
GO_Biological_Process_2023	Golgi Transport Vesicle Coating (GO:0048200)	1/5	2.747205e-03	4.201010e-02	0	0	4.996250e+02	2.946374e+03	TMED10
GO_Biological_Process_2023	Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000623)	1/5	2.747205e-03	4.201010e-02	0	0	4.996250e+02	2.946374e+03	PABPC1
GO_Biological_Process_2023	Detection Of Molecule Of Bacterial Origin (GO:0032490)	1/5	2.747205e-03	4.201010e-02	0	0	4.996250e+02	2.946374e+03	LY96
GO_Biological_Process_2023	Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)	1/6	3.295826e-03	4.201010e-02	0	0	3.996800e+02	2.284211e+03	LY96
GO_Biological_Process_2023	Glandular Epithelial Cell Development (GO:0002068)	1/6	3.295826e-03	4.201010e-02	0	0	3.996800e+02	2.284211e+03	CDK6
GO_Biological_Process_2023	Type B Pancreatic Cell Development (GO:0003323)	1/6	3.295826e-03	4.201010e-02	0	0	3.996800e+02	2.284211e+03	CDK6
GO_Biological_Process_2023	Pyrimidine Ribonucleotide Biosynthetic Process (GO:0009220)	1/6	3.295826e-03	4.201010e-02	0	0	3.996800e+02	2.284211e+03	CTPS1
GO_Biological_Process_2023	Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway (GO:1903376)	1/6	3.295826e-03	4.201010e-02	0	0	3.996800e+02	2.284211e+03	NONO
GO_Biological_Process_2023	Regulation Of Macromolecule Metabolic Process (GO:0060255)	2/162	3.418279e-03	4.201010e-02	0	0	2.754028e+01	1.563907e+02	CDK6;NPC1
GO_Biological_Process_2023	Type B Pancreatic Cell Differentiation (GO:0003309)	1/8	4.392244e-03	4.201010e-02	0	0	2.854571e+02	1.549437e+03	CDK6
GO_Biological_Process_2023	Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204)	1/8	4.392244e-03	4.201010e-02	0	0	2.854571e+02	1.549437e+03	NONO
GO_Biological_Process_2023	Intestinal Cholesterol Absorption (GO:0030299)	1/9	4.940043e-03	4.201010e-02	0	0	2.497625e+02	1.326334e+03	NPC1
GO_Biological_Process_2023	Kinetochore Assembly (GO:0051382)	1/9	4.940043e-03	4.201010e-02	0	0	2.497625e+02	1.326334e+03	NPC1
GO_Biological_Process_2023	CRD-mediated mRNA Stabilization (GO:0070934)	1/10	5.487568e-03	4.201010e-02	0	0	2.220000e+02	1.155570e+03	PABPC1
GO_Biological_Process_2023	Kinetochore Organization (GO:0051383)	1/10	5.487568e-03	4.201010e-02	0	0	2.220000e+02	1.155570e+03	NPC1
