target_gene,guide,condition,n_cells,underpowered,n_sig_genes,self_padj,self_lfc
IFNGR1,IFNGR1_1,Co-culture,112,False,85,6.358734225743889e-11,-2.323083
IFNGR1,IFNGR1_2,Co-culture,85,False,75,1.574321066878976e-05,-1.7725323
IFNGR1,IFNGR1_3,Co-culture,90,False,59,0.0006214554281556431,-1.396902
IFNGR1,IFNGR1_1,Control,58,False,0,0.1398691768378538,-2.620542
IFNGR1,IFNGR1_2,Control,38,False,0,1.0,-0.9109717
IFNGR1,IFNGR1_3,Control,37,False,0,1.0,-0.8830129
IFNGR1,IFNGR1_1,IFNγ,70,False,68,0.40878882767587765,-1.759662
IFNGR1,IFNGR1_2,IFNγ,51,False,54,1.0,-1.1398593
IFNGR1,IFNGR1_3,IFNγ,57,False,56,1.0,-0.81375
IFNGR2,IFNGR2_1,Co-culture,119,False,61,1.0,-0.33013114
IFNGR2,IFNGR2_2,Co-culture,188,False,192,0.0017931338058773884,-0.5533626
IFNGR2,IFNGR2_3,Co-culture,128,False,91,0.8547928290779376,-0.49500322
IFNGR2,IFNGR2_1,Control,42,False,0,1.0,-0.50355816
IFNGR2,IFNGR2_2,Control,64,False,1,0.02488260144613695,-1.3074813
IFNGR2,IFNGR2_3,Control,35,False,0,1.0,-0.41549665
IFNGR2,IFNGR2_1,IFNγ,79,False,52,1.0,-0.051348962
IFNGR2,IFNGR2_2,IFNγ,106,False,144,0.012171945130284176,-1.1428213
IFNGR2,IFNGR2_3,IFNγ,68,False,54,1.0,-0.46974462
JAK1,JAK1_1,Co-culture,133,False,168,2.345046535816835e-16,-2.757178
JAK1,JAK1_2,Co-culture,126,False,88,5.631169953492052e-16,-2.8955357
JAK1,JAK1_3,Co-culture,101,False,97,6.882817530921133e-10,-2.2050674
JAK1,JAK1_1,Control,35,False,0,1.0,-1.4576609
JAK1,JAK1_2,Control,62,False,1,0.001979392807525898,-1.7241533
JAK1,JAK1_3,Control,38,False,0,0.39548765080744636,-1.7515074
JAK1,JAK1_1,IFNγ,68,False,76,0.22537412421884132,-1.2288487
JAK1,JAK1_2,IFNγ,95,False,54,0.0005419746203905383,-1.5691066
JAK1,JAK1_3,IFNγ,62,False,71,0.003113791855650514,-1.9883405
JAK2,JAK2_1,Co-culture,154,False,130,1.0,-25.537165
JAK2,JAK2_2,Co-culture,112,False,77,1.0,0.05638924
JAK2,JAK2_3,Co-culture,135,False,226,1.0,-0.8908711
JAK2,JAK2_1,Control,56,False,0,1.0,-1.5238557
JAK2,JAK2_2,Control,55,False,0,1.0,-1.6489189
JAK2,JAK2_3,Control,50,False,0,1.0,-0.29195938
JAK2,JAK2_1,IFNγ,75,False,69,1.0,-2.0739572
JAK2,JAK2_2,IFNγ,72,False,59,1.0,-1.1775839
JAK2,JAK2_3,IFNγ,74,False,102,1.0,-1.6110522
STAT1,STAT1_1,Co-culture,115,False,87,1.1174450061571628e-44,-1.9484493
STAT1,STAT1_2,Co-culture,117,False,68,1.9464283553103307e-47,-2.661983
STAT1,STAT1_3,Co-culture,128,False,113,9.95746935539321e-53,-2.4329803
STAT1,STAT1_1,Control,40,False,0,1.0,-0.8324833
STAT1,STAT1_2,Control,38,False,0,1.0,-1.33985
STAT1,STAT1_3,Control,32,False,0,1.0,-1.494921
STAT1,STAT1_1,IFNγ,66,False,68,7.578355284530002e-22,-1.6269213
STAT1,STAT1_2,IFNγ,61,False,70,2.6353326305567304e-19,-1.9793618
STAT1,STAT1_3,IFNγ,62,False,76,1.996846219258603e-24,-2.1275208
