names,scores,logfoldchanges,pvals,pvals_adj,comparison
CD74,80.657265,8.629555,0.0,0.0,Co-culture_vs_Control
HLA-DRA,74.81621,8.696825,0.0,0.0,Co-culture_vs_Control
WARS,74.79145,3.0166187,0.0,0.0,Co-culture_vs_Control
HLA-B,74.56787,1.859421,0.0,0.0,Co-culture_vs_Control
HLA-DRB1,74.12764,8.408092,0.0,0.0,Co-culture_vs_Control
UBE2L6,71.20854,2.2575023,0.0,0.0,Co-culture_vs_Control
PSMB9,67.25852,2.373759,0.0,0.0,Co-culture_vs_Control
STAT1,67.24083,1.8992788,0.0,0.0,Co-culture_vs_Control
HLA-DPA1,65.25485,7.52259,0.0,0.0,Co-culture_vs_Control
TAP1,64.93203,3.008028,0.0,0.0,Co-culture_vs_Control
PSMB8,61.190434,1.2536293,0.0,0.0,Co-culture_vs_Control
GBP1,60.22963,2.3228831,0.0,0.0,Co-culture_vs_Control
PSME2,57.38445,0.8889877,0.0,0.0,Co-culture_vs_Control
C1S,55.718666,3.8650608,0.0,0.0,Co-culture_vs_Control
IRF1,54.35963,1.9782231,0.0,0.0,Co-culture_vs_Control
HLA-E,53.405186,1.6941199,0.0,0.0,Co-culture_vs_Control
RARRES3,53.252567,3.0417492,0.0,0.0,Co-culture_vs_Control
HLA-DPB1,52.22531,3.3523455,0.0,0.0,Co-culture_vs_Control
B2M,50.684875,0.36946252,0.0,0.0,Co-culture_vs_Control
HLA-A,49.936993,0.42841345,0.0,0.0,Co-culture_vs_Control
GBP2,49.531563,4.4577274,0.0,0.0,Co-culture_vs_Control
PSME1,49.409615,1.3193443,0.0,0.0,Co-culture_vs_Control
IFI35,47.77535,2.3198361,0.0,0.0,Co-culture_vs_Control
HLA-DMA,47.68787,5.74977,0.0,0.0,Co-culture_vs_Control
GBP4,45.574192,5.260546,0.0,0.0,Co-culture_vs_Control
PTGES,44.75465,2.583531,0.0,0.0,Co-culture_vs_Control
C1R,44.554348,3.4468217,0.0,0.0,Co-culture_vs_Control
LGALS3BP,43.82859,0.6057901,0.0,0.0,Co-culture_vs_Control
G6PD,43.789516,1.006823,0.0,0.0,Co-culture_vs_Control
HLA-C,43.685028,0.34958455,0.0,0.0,Co-culture_vs_Control
IFITM3,41.656986,1.0256461,0.0,0.0,Co-culture_vs_Control
DNPEP,41.600418,1.1377443,0.0,0.0,Co-culture_vs_Control
CTSD,41.43844,0.7840139,0.0,0.0,Co-culture_vs_Control
LAP3,40.88055,1.1696608,0.0,0.0,Co-culture_vs_Control
BST2,40.409008,1.694369,0.0,0.0,Co-culture_vs_Control
DDIT4,40.105095,2.2389002,0.0,0.0,Co-culture_vs_Control
ID1,39.626984,0.5993006,0.0,0.0,Co-culture_vs_Control
VAMP5,39.566208,1.2346271,0.0,0.0,Co-culture_vs_Control
TUBB,38.563896,0.27489957,0.0,0.0,Co-culture_vs_Control
SLC16A3,38.085114,0.3575328,0.0,0.0,Co-culture_vs_Control
TAPBP,37.99844,1.1298041,0.0,0.0,Co-culture_vs_Control
TAP2,37.10672,2.1504564,2.1891153617983946e-301,1.081422988728407e-298,Co-culture_vs_Control
TFPI2,36.729824,0.3987181,2.4413424567806697e-295,1.135080634023201e-292,Co-culture_vs_Control
HLA-F,36.728268,3.4707398,2.584792219559142e-295,1.178665252118969e-292,Co-culture_vs_Control
HSPB1,36.666245,0.4295844,2.52157413405096e-294,1.1281427522003089e-291,Co-culture_vs_Control
APOL6,36.492085,2.8042178,1.4807365058169676e-291,6.50207852332073e-289,Co-culture_vs_Control
LY6E,35.88928,0.4781539,4.490144964068785e-282,1.935823952509073e-279,Co-culture_vs_Control
BTN3A2,35.71829,2.3235383,2.056375058060689e-279,8.70727953155983e-277,Co-culture_vs_Control
MKNK2,35.5061,1.1905376,3.9578486318952304e-276,1.6464650308684157e-273,Co-culture_vs_Control
GSTK1,34.961094,1.2531543,8.784100088409592e-268,3.471476354939471e-265,Co-culture_vs_Control
CTSS,34.543358,2.2910347,1.7932344497480994e-261,6.858254076197892e-259,Co-culture_vs_Control
SQOR,34.48642,1.8382576,1.2818664755548563e-260,4.824701248945516e-258,Co-culture_vs_Control
ICAM1,34.073303,1.0572939,1.8340278413509913e-254,6.795073152205423e-252,Co-culture_vs_Control
