pair_id,target_gene,condition,n_sig_genes,leiden
CCND1 | Control,CCND1,Control,5,0
CCND1 | IFNγ,CCND1,IFNγ,8,0
CDK6 | Control,CDK6,Control,7,0
CDK6 | IFNγ,CDK6,IFNγ,78,0
CTPS1 | Co-culture,CTPS1,Co-culture,14,0
CTPS1 | Control,CTPS1,Control,26,0
EIF3K | Co-culture,EIF3K,Co-culture,5,0
EIF3K | IFNγ,EIF3K,IFNγ,7,0
IFNGR1 | Co-culture,IFNGR1,Co-culture,251,1
IFNGR1 | IFNγ,IFNGR1,IFNγ,161,1
IFNGR2 | Co-culture,IFNGR2,Co-culture,328,1
IFNGR2 | IFNγ,IFNGR2,IFNγ,224,1
JAK1 | Co-culture,JAK1,Co-culture,469,1
JAK1 | IFNγ,JAK1,IFNγ,208,1
JAK2 | Co-culture,JAK2,Co-culture,606,1
JAK2 | IFNγ,JAK2,IFNγ,224,1
LY96 | Co-culture,LY96,Co-culture,190,0
MRPL47 | Control,MRPL47,Control,8,0
MRPL47 | IFNγ,MRPL47,IFNγ,8,0
NONO | Co-culture,NONO,Co-culture,6,0
NPC1 | IFNγ,NPC1,IFNγ,26,0
PABPC1 | Control,PABPC1,Control,10,0
SLIRP | Co-culture,SLIRP,Co-culture,11,2
SLIRP | Control,SLIRP,Control,11,2
SLIRP | IFNγ,SLIRP,IFNγ,9,2
STAT1 | Co-culture,STAT1,Co-culture,278,1
STAT1 | IFNγ,STAT1,IFNγ,198,1
TMED10 | IFNγ,TMED10,IFNγ,5,0
TXNDC17 | Co-culture,TXNDC17,Co-culture,7,0
TXNDC17 | IFNγ,TXNDC17,IFNγ,13,0
