target_gene,condition,n_sig_proteins,self_padj,self_lfc
JAK2,Co-culture,11,,
IFNGR1,Co-culture,10,2.2697813587340563e-87,-2.6150338649749756
STAT1,Co-culture,10,,
IFNGR2,Co-culture,10,,
JAK1,Co-culture,9,,
CD44,Co-culture,8,2.892989488862871e-20,-1.6621242761611938
CD44,IFNγ,8,3.666072010710196e-06,-0.8576155304908752
CTSD,Control,6,,
IFNGR1,IFNγ,6,1.8173195719168827e-08,-0.6568803787231445
NPC1,Co-culture,5,,
TXNDC17,IFNγ,5,,
IFNGR2,IFNγ,5,,
HLA-B,Co-culture,5,,
STAT1,IFNγ,5,,
KLF4,Control,5,,
B2M,Co-culture,5,,
TAPBP,IFNγ,4,,
TPRKB,Co-culture,4,,
SSR2,IFNγ,4,,
CD44,Control,4,3.5935155984895756e-11,-1.3815685510635376
SSR2,Co-culture,4,,
POLD2,IFNγ,4,,
SSR2,Control,3,,
PABPC1,Control,3,,
CTPS1,Co-culture,3,,
JAK1,IFNγ,3,,
JAK2,IFNγ,3,,
CDK6,Control,3,,
AHNAK,IFNγ,3,,
EIF4A1,Control,3,,
TXNDC17,Control,3,,
NACA,Co-culture,2,,
STAT3,IFNγ,2,,
HLA-E,Co-culture,2,2.2555652992246595e-06,-2.2968080043792725
EIF3K,Co-culture,2,,
CCND1,Control,2,,
HLA-A,IFNγ,2,0.014066338275493343,-0.26401811838150024
TXNDC17,Co-culture,2,,
MDH2,Co-culture,2,,
IFNGR1,Control,2,2.1647247330785027e-12,-1.001957893371582
B2M,IFNγ,2,,
CD47,Co-culture,2,9.384956660830021e-86,-2.7154557704925537
HLA-H,Co-culture,2,,
HLA-C,Co-culture,2,,
CD58,Control,2,3.9833510144076516e-50,-2.8691577911376953
TAPBP,Co-culture,2,,
STX7,IFNγ,2,,
PAICS,IFNγ,2,,
STAT3,Control,1,,
CDK6,IFNγ,1,,
ITGA3,Control,1,,
PET100,IFNγ,1,,
SEC11C,IFNγ,1,,
PTMA,Co-culture,1,,
B2M,Control,1,,
LAMP2,Co-culture,1,,
CD59,Co-culture,1,3.749992605793234e-30,-1.3201984167099
TAPBP,Control,1,,
PFN1,IFNγ,1,,
ITGA3,IFNγ,1,,
TM4SF1,Co-culture,1,,
CD47,IFNγ,1,2.4219780366663918e-92,-2.0031635761260986
NPC1,IFNγ,1,,
NONO,IFNγ,1,,
CD274,Control,1,3.0106861955604916e-14,-1.5102310180664062
MRPL47,Co-culture,1,,
SNHG6,IFNγ,1,,
HLA-A,Control,1,0.006742460945192506,-0.37482738494873047
MDH2,Control,1,,
SDCBP,IFNγ,1,,
CD274,Co-culture,1,4.663526525959798e-97,-3.2099575996398926
A2M,IFNγ,1,,
DNMT1,IFNγ,1,,
CD58,Co-culture,1,1.4648878938428473e-90,-3.0288772583007812
CORO1A,Control,1,,
CDH19,IFNγ,1,,
HNRNPA1,Co-culture,1,,
BOLA2B,Co-culture,1,,
CD47,Control,1,1.7907074185986173e-42,-1.9524825811386108
GPI,IFNγ,1,,
LY96,Co-culture,1,,
CD58,IFNγ,1,1.4071914841629369e-71,-2.5206758975982666
LRRC75A-AS1,Control,1,,
AEBP1,IFNγ,1,,
ITGA3,Co-culture,1,,
AHNAK,Co-culture,1,,
HLA-B,IFNγ,1,,
CD59,IFNγ,1,1.7352339505951203e-35,-1.1586523056030273
CDKN2B,IFNγ,1,,
HNRNPA1,IFNγ,1,,
CD59,Control,1,1.8249851891706345e-20,-1.2021291255950928
HLA-C,IFNγ,1,,
NPC2,Co-culture,1,,
CKS1B,Control,1,,
CD274,IFNγ,1,3.1947766535782108e-111,-2.7477574348449707
ACSL3,Co-culture,1,,
CCND1,Co-culture,1,,
IDH2,Co-culture,1,,
CST3,Co-culture,0,,
IRF4,Co-culture,0,,
CDKN2A,Co-culture,0,,
CCND2,Co-culture,0,,
SLC26A2,Co-culture,0,,
DAG1,Co-culture,0,,
SHMT2,Co-culture,0,,
SAE1,IFNγ,0,,
CCT3,IFNγ,0,,
EIF4A1,IFNγ,0,,
ARMC6,IFNγ,0,,
FRZB,IFNγ,0,,
VDAC2,Co-culture,0,,
KLF4,Co-culture,0,,
NEAT1,Co-culture,0,,
HNRNPC,IFNγ,0,,
PET100,Co-culture,0,,
TIMP1,Co-culture,0,,
KCNN4,Co-culture,0,,
TYR,Co-culture,0,,
CD151,Co-culture,0,,
LGALS3,Co-culture,0,,
DLL3,Co-culture,0,,
TMEM173,Co-culture,0,,
SPINT1,Co-culture,0,,
ST3GAL6-AS1,Co-culture,0,,
NT5E,Co-culture,0,,
SERPINA3,Co-culture,0,,
GPNMB,Co-culture,0,,
CYP27A1,Co-culture,0,,
A2M,Co-culture,0,,
TGFB1,Co-culture,0,,
CTSL,Co-culture,0,,
RNF213,Co-culture,0,,
PSAP,Co-culture,0,,
CTSD,Co-culture,0,,
IRF3,Co-culture,0,,
RAB27A,Co-culture,0,,
JMJD7,Co-culture,0,,
GSN,Co-culture,0,,
DNMT1,Co-culture,0,,
CITED1,Co-culture,0,,
DDR1,IFNγ,0,,
ST3GAL6-AS1,IFNγ,0,,
GPATCH4,IFNγ,0,,
HLA-H,IFNγ,0,,
P2RX4,IFNγ,0,,
WBP2,IFNγ,0,,
STOM,IFNγ,0,,
SINHCAF,IFNγ,0,,
SET,IFNγ,0,,
ATP5MD,IFNγ,0,,
SHMT2,IFNγ,0,,
CTSL,IFNγ,0,,
SERPINF1,IFNγ,0,,
SMAD3,IFNγ,0,,
KLF4,IFNγ,0,,
SP100,IFNγ,0,,
LCP1,IFNγ,0,,
SERPINA3,IFNγ,0,,
XAGE1A,IFNγ,0,,
CCND1,IFNγ,0,,
MDH2,IFNγ,0,,
RNF213,IFNγ,0,,
APOE,IFNγ,0,,
CITED1,IFNγ,0,,
SLC7A5P1,IFNγ,0,,
GSN,IFNγ,0,,
CXCR4,IFNγ,0,0.6381382002646036,0.16455622017383575
RRS1,IFNγ,0,,
MRPL47,IFNγ,0,,
ILF2,IFNγ,0,,
ISYNA1,IFNγ,0,,
PSMB8-AS1,IFNγ,0,,
PPIA,IFNγ,0,,
SOX4,IFNγ,0,,
SPINT1,IFNγ,0,,
PROS1,IFNγ,0,,
SLC19A1,IFNγ,0,,
MT2A,IFNγ,0,,
BOLA2B,IFNγ,0,,
C1QBP,IFNγ,0,,
NACA,IFNγ,0,,
ROMO1,IFNγ,0,,
MYC,IFNγ,0,,
TMED10,IFNγ,0,,
TPRKB,IFNγ,0,,
PSAP,IFNγ,0,,
SNRPG,IFNγ,0,,
PIK3IP1,IFNγ,0,,
FTH1,IFNγ,0,,
RAB27A,IFNγ,0,,
NDUFA13,IFNγ,0,,
SERPINE2,IFNγ,0,,
UBC,IFNγ,0,,
FBL,IFNγ,0,,
HLA-DRB5,IFNγ,0,,
GAS5,IFNγ,0,,
LGALS3,IFNγ,0,,
KCNN4,IFNγ,0,,
TIMP2,IFNγ,0,,
RPSA,IFNγ,0,,
TOP1MT,IFNγ,0,,
FOS,IFNγ,0,,
CST3,IFNγ,0,,
PRELID3B,IFNγ,0,,
DDX39A,IFNγ,0,,
MIA,IFNγ,0,,
HLA-E,IFNγ,0,0.06448736551581288,-0.5244541168212891
AGA,IFNγ,0,,
NPC2,IFNγ,0,,
CTSO,IFNγ,0,,
CCR10,Co-culture,0,,
UCN2,IFNγ,0,,
CCR10,IFNγ,0,,
CDH19,Co-culture,0,,
LRRC75A-AS1,Co-culture,0,,
DDX17,Co-culture,0,,
TFAP2A,Co-culture,0,,
STAT3,Co-culture,0,,
APOE,Co-culture,0,,
SLC22A18,Co-culture,0,,
CHCHD2,Co-culture,0,,
TP53,Co-culture,0,,
MFGE8,Co-culture,0,,
XAGE1A,Co-culture,0,,
UBC,Co-culture,0,,
MT2A,Co-culture,0,,
CSPG4,Co-culture,0,,
MC1R,Co-culture,0,,
BOLA2,Co-culture,0,,
P2RX4,Co-culture,0,,
ATP5MD,Co-culture,0,,
APOD,Co-culture,0,,
SLIRP,Co-culture,0,,
FGFR1,Co-culture,0,,
CMSS1,Co-culture,0,,
GAA,Co-culture,0,,
C6orf226,Co-culture,0,,
ACTA2,Co-culture,0,,
TRIM22,Co-culture,0,,
