target_gene,condition,n_cells,n_sig_genes,n_genes_tested,rna_self_padj,rna_self_lfc,rna_self_sig,self_padj,self_lfc,protein_sig,discordant
CD274,Co-culture,215,0,23712,,,False,4.6635265259597984e-97,-3.2099575996398926,True,True
CD274,Control,141,0,23712,,,False,3.010686195560492e-14,-1.5102310180664062,True,True
CD274,IFNγ,270,0,23712,,,False,3.194776653578211e-111,-2.7477574348449707,True,True
CD58,Co-culture,267,0,23712,,,False,1.464887893842847e-90,-3.028877258300781,True,True
CD58,Control,128,0,23712,,,False,3.983351014407652e-50,-2.8691577911376958,True,True
CD58,IFNγ,205,0,23712,,,False,1.4071914841629369e-71,-2.5206758975982666,True,True
HLA-A,Co-culture,249,0,23712,,,False,0.9886449143685152,-0.0598253905773162,False,False
HLA-A,Control,156,1,23712,0.0001990191127528,-0.2895294,True,0.0067424609451925,-0.3748273849487304,True,False
HLA-A,IFNγ,257,0,23712,,,False,0.0140663382754933,-0.2640181183815002,True,True
HLA-E,Co-culture,178,1,23712,8.789723592712874e-31,-1.2639164,True,2.2555652992246595e-06,-2.2968080043792725,True,False
HLA-E,Control,107,0,23712,,,False,0.8906995345459414,-0.1832908242940902,False,False
HLA-E,IFNγ,187,1,23712,7.62006606507534e-29,-1.1562809,True,0.0644873655158128,-0.5244541168212891,False,True
IFNGR1,Co-culture,287,251,23712,5.334284840604678e-22,-1.8290862,True,2.2697813587340563e-87,-2.615033864974976,True,False
IFNGR1,Control,133,1,23712,0.0148730890278874,-1.4610711,True,2.1647247330785027e-12,-1.001957893371582,True,False
IFNGR1,IFNγ,178,161,23712,0.0132187075231564,-1.2340792,True,1.817319571916883e-08,-0.6568803787231445,True,False
