names,scores,logfoldchanges,pvals,pvals_adj,target_gene,condition
CTSD,-12.882968,-2.4447684,5.613452753478951e-38,1.331061916904929e-33,CTSD,Control
TGFB1,-9.098289,-2.3628707,9.176616568485469e-20,2.1759593207192744e-15,TGFB1,Control
ATP1B1,-7.2796836,-0.9390706,3.346037966246221e-13,7.93412522556304e-09,ATP1B1,Control
HLA-A,-5.760366,-0.2895294,8.393181205839486e-09,0.0001990191127528659,HLA-A,Control
SEC11C,-5.0750914,-0.75166744,3.8731024950078027e-07,0.009183900636162503,SEC11C,Control
LAMP2,-5.8894777,-1.3054576,3.874180911233404e-09,9.186457776716648e-05,LAMP2,Control
SDCBP,-7.8818307,-1.0702168,3.2261880314232017e-15,7.649937060110696e-11,SDCBP,Control
CTSA,-9.07903,-1.5222083,1.0954636107554934e-19,2.597563313823426e-15,CTSA,Control
ITGA3,-6.2201095,-0.5049957,4.968083073281067e-10,1.1780318583364066e-05,ITGA3,Control
SCARB2,-8.720806,-1.7463146,2.7622766774093574e-18,6.549910457473069e-14,SCARB2,Control
IFNGR2,-4.8549705,-0.8126069,1.2040476111686183e-06,0.028550376956030278,IFNGR2,Control
CHCHD2,-6.3998623,-0.21565558,1.555170003588773e-10,3.6876191125096986e-06,CHCHD2,Control
CTSL,-9.437401,-1.1281124,3.821406757967854e-21,9.061319704493376e-17,CTSL,Control
TIMP1,-5.7768526,-0.5990903,7.611093725661007e-09,0.0001804742544228738,TIMP1,Control
VDAC2,-10.232908,-1.7177212,1.412130805169639e-24,3.3484445652182484e-20,VDAC2,Control
NNMT,-5.0337105,-0.48213428,4.810764130975974e-07,0.005703641953685115,JAK1,Control
JAK1,-7.5318413,-1.6589959,5.002974992576987e-14,1.1863054302398552e-09,JAK1,Control
ID3,-4.8512464,-0.49241737,1.2268813050234792e-06,0.02909180950471674,SMAD4,Control
IFNGR1,-4.982636,-1.4610711,6.272389097455898e-07,0.014873089027887424,IFNGR1,Control
CTSB,-9.813457,-1.4412502,9.85347310882171e-23,2.336455543563804e-18,CTSB,Control
AKR1C2,4.6504264,0.82204795,3.312496140325034e-06,0.039272954239693604,TXNDC17,Control
TXNDC17,-8.338126,-0.88481134,7.54772819312105e-17,1.7897173091528634e-12,TXNDC17,Control
BZW2,-7.0606494,-1.183631,1.6572642807331987e-12,3.929705062474561e-08,BZW2,Control
CKS1B,-7.039196,-0.9360561,1.933519983900988e-12,4.5847625858260234e-08,CKS1B,Control
B2M,-9.221628,-0.6289458,2.9262233376158666e-20,6.938660778154743e-16,B2M,Control
SP100,-6.2533407,-1.1899912,4.0176383837862577e-10,9.526624135633975e-06,SP100,Control
CGAS,-4.8410273,-1.7396358,1.2916958698771981e-06,0.030628692466528124,CGAS,Control
CD47,-6.650196,-1.5331339,2.927032764674308e-11,6.940580091595719e-07,CD47,Control
HSPA1A,-9.226201,-1.9548649,2.8040115971822104e-20,6.648872299238458e-16,HSPA1A,Control
CMSS1,-6.97322,-1.4563484,3.097675106543891e-12,7.345207212636875e-08,CMSS1,Control
S100A6,-5.099396,-0.16238679,3.4073903352468657e-07,0.008079603962937368,S100A6,Control
HLA-B,4.8548193,0.60700274,1.2049661780737275e-06,0.028572158014484227,STAT3,Control
MT-ND4L,6.8236866,0.5017384,8.873341111920896e-12,2.104046644458683e-07,MDH2,Control
MDH2,-6.694504,-0.84822875,2.1640486582448593e-11,2.565696089215105e-07,MDH2,Control
LGALS3,-5.86468,-0.5055013,4.499999058610128e-09,0.00010670397767776337,LGALS3,Control
LRPAP1,-10.06652,-1.6906174,7.767832709975505e-24,1.8419084921893918e-19,LRPAP1,Control
NBDY,-7.242478,-1.5899731,4.4056033634223395e-13,5.223283347673526e-09,NONO,Control
