target_gene,condition,n_cells,n_sig_genes,n_genes_tested,pct_sig_genes
NT5E,Control,177,0,23712,0.0
TSC22D3,Control,169,0,23712,0.0
SOX4,Control,169,0,23712,0.0
CTSD,Control,169,1,23712,0.004217273954116059
CTSO,Control,168,0,23712,0.0
TTLL1,Control,167,0,23712,0.0
PSAP,Control,166,0,23712,0.0
SLC22A18,Control,166,0,23712,0.0
RTP4,Control,165,0,23712,0.0
FGFR1,Control,165,0,23712,0.0
TGFB1,Control,164,1,23712,0.004217273954116059
GSN,Control,163,0,23712,0.0
MFGE8,Control,162,0,23712,0.0
JAK2,Control,161,0,23712,0.0
PFDN4,Control,160,0,23712,0.0
ATP1B1,Control,159,1,23712,0.004217273954116059
CD44,Control,158,0,23712,0.0
IDH2,Control,158,0,23712,0.0
SLC5A3,Control,158,0,23712,0.0
ACTA2,Control,157,0,23712,0.0
RB1,Control,157,0,23712,0.0
FSTL3,Control,157,0,23712,0.0
HLA-A,Control,156,1,23712,0.004217273954116059
CDH19,Control,156,0,23712,0.0
SMAD3,Control,154,0,23712,0.0
NUP50-AS1,Control,153,0,23712,0.0
SPESP1,Control,152,0,23712,0.0
AEBP1,Control,152,0,23712,0.0
HLA-DRB5,Control,150,0,23712,0.0
CD59,Control,150,0,23712,0.0
WNT7A,Control,149,0,23712,0.0
SEC11C,Control,149,1,23712,0.004217273954116059
CYP27A1,Control,148,0,23712,0.0
SERPINF1,Control,148,0,23712,0.0
LAMP2,Control,148,1,23712,0.004217273954116059
CITED1,Control,147,0,23712,0.0
S100B,Control,147,0,23712,0.0
SDCBP,Control,147,1,23712,0.004217273954116059
TM4SF1,Control,146,0,23712,0.0
CTSA,Control,146,1,23712,0.004217273954116059
A2M,Control,146,0,23712,0.0
NPC1,Control,146,0,23712,0.0
CDKN1A,Control,145,0,23712,0.0
LCP1,Control,145,0,23712,0.0
JMJD7,Control,145,0,23712,0.0
ITGA3,Control,145,1,23712,0.004217273954116059
ATP5MD,Control,145,0,23712,0.0
TMEM173,Control,144,0,23712,0.0
AHNAK,Control,144,0,23712,0.0
CSPG4,Control,143,0,23712,0.0
FMN1,Control,143,0,23712,0.0
STOM,Control,142,0,23712,0.0
CD274,Control,141,0,23712,0.0
LEF1-AS1,Control,141,0,23712,0.0
SCARB2,Control,141,1,23712,0.004217273954116059
TP53,Control,141,0,23712,0.0
IFNGR2,Control,141,1,23712,0.004217273954116059
APOE,Control,140,0,23712,0.0
TAPBPL,Control,140,0,23712,0.0
TOP1MT,Control,140,0,23712,0.0
CHCHD2,Control,140,1,23712,0.004217273954116059
NMRK1,Control,139,0,23712,0.0
SPINT1,Control,139,0,23712,0.0
CTSL,Control,139,1,23712,0.004217273954116059
APOC2,Control,138,0,23712,0.0
AGA,Control,138,0,23712,0.0
EMP1,Control,137,0,23712,0.0
SAT1,Control,137,0,23712,0.0
SLC26A2,Control,137,0,23712,0.0
C19orf48,Control,137,0,23712,0.0
CORO1A,Control,136,0,23712,0.0
TIMP1,Control,135,1,23712,0.004217273954116059
VDAC2,Control,135,1,23712,0.004217273954116059
JAK1,Control,135,2,23712,0.008434547908232119
NSG1,Control,135,0,23712,0.0
SMAD4,Control,135,1,23712,0.004217273954116059
LINC00518,Control,134,0,23712,0.0
STX7,Control,134,0,23712,0.0
MC1R,Control,134,0,23712,0.0
CDKN2B,Control,134,0,23712,0.0
IFNGR1,Control,133,1,23712,0.004217273954116059
TYR,Control,133,0,23712,0.0
CTSB,Control,133,1,23712,0.004217273954116059
TXNDC17,Control,133,2,23712,0.008434547908232119
ST3GAL6-AS1,Control,133,0,23712,0.0
BZW2,Control,133,1,23712,0.004217273954116059
CKS1B,Control,133,1,23712,0.004217273954116059
IDI2-AS1,Control,132,0,23712,0.0
B2M,Control,132,1,23712,0.004217273954116059
SP100,Control,132,1,23712,0.004217273954116059
PYGB,Control,132,0,23712,0.0
RAB27A,Control,131,0,23712,0.0
IRF3,Control,131,0,23712,0.0
SDC3,Control,131,0,23712,0.0
HLA-F,Control,131,0,23712,0.0
ENPP1,Control,131,0,23712,0.0
CGAS,Control,131,1,23712,0.004217273954116059
HLA-H,Control,131,0,23712,0.0
RNF213,Control,131,0,23712,0.0
CD47,Control,130,1,23712,0.004217273954116059
KDR,Control,129,0,23712,0.0
TPP1,Control,128,0,23712,0.0
CD58,Control,128,0,23712,0.0
RBP7,Control,128,0,23712,0.0
GPNMB,Control,126,0,23712,0.0
CDK4,Control,126,0,23712,0.0
PSMB8-AS1,Control,126,0,23712,0.0
SLC7A5P1,Control,125,0,23712,0.0
FBXO32,Control,125,0,23712,0.0
HSPA1A,Control,124,1,23712,0.004217273954116059
CMSS1,Control,124,1,23712,0.004217273954116059
DLL3,Control,124,0,23712,0.0
CD151,Control,124,0,23712,0.0
S100A6,Control,124,1,23712,0.004217273954116059
WBP2,Control,123,0,23712,0.0
GAA,Control,123,0,23712,0.0
STAT3,Control,123,1,23712,0.004217273954116059
TAPBP,Control,123,0,23712,0.0
TFAP2A,Control,122,0,23712,0.0
MDH2,Control,122,2,23712,0.008434547908232119
ARMC6,Control,122,0,23712,0.0
LGALS3,Control,122,1,23712,0.004217273954116059
LRPAP1,Control,122,1,23712,0.004217273954116059
KLF4,Control,121,0,23712,0.0
NONO,Control,121,2,23712,0.008434547908232119
APOD,Control,121,0,23712,0.0
NPC2,Control,121,1,23712,0.004217273954116059
LGALS3BP,Control,121,1,23712,0.004217273954116059
KCNN4,Control,120,0,23712,0.0
NGFR,Control,120,0,23712,0.0
FOS,Control,119,0,23712,0.0
LRRC75A-AS1,Control,118,0,23712,0.0
DAG1,Control,118,0,23712,0.0
SLC25A13,Control,117,0,23712,0.0
CCR10,Control,116,0,23712,0.0
PROS1,Control,116,0,23712,0.0
EIF3K,Control,116,4,23712,0.016869095816464237
GAS5,Control,115,0,23712,0.0
VAT1,Control,115,1,23712,0.004217273954116059
TIMP3,Control,115,0,23712,0.0
PIK3IP1,Control,114,0,23712,0.0
LY96,Control,113,0,23712,0.0
NME1,Control,113,0,23712,0.0
FRZB,Control,113,0,23712,0.0
HNRNPA1,Control,112,1,23712,0.004217273954116059
SERPINE2,Control,112,1,23712,0.004217273954116059
DDR1,Control,112,0,23712,0.0
SLIRP,Control,112,11,23712,0.046390013495276654
SNHG6,Control,112,0,23712,0.0
SERPINA3,Control,112,0,23712,0.0
MIA,Control,110,0,23712,0.0
SHMT2,Control,110,0,23712,0.0
STAT1,Control,110,0,23712,0.0
C6orf226,Control,109,0,23712,0.0
PTMA,Control,109,2,23712,0.008434547908232119
EVA1A,Control,109,0,23712,0.0
PPIA,Control,108,0,23712,0.0
CDKN2A,Control,108,0,23712,0.0
DDX17,Control,107,0,23712,0.0
SET,Control,107,1,23712,0.004217273954116059
SGK1,Control,107,0,23712,0.0
HLA-E,Control,107,0,23712,0.0
EEA1,Control,107,0,23712,0.0
GRN,Control,106,1,23712,0.004217273954116059
FKBP4,Control,106,1,23712,0.004217273954116059
TRIM22,Control,106,0,23712,0.0
ISYNA1,Control,106,0,23712,0.0
CXCR4,Control,105,0,23712,0.0
UCN2,Control,105,0,23712,0.0
NEAT1,Control,104,0,23712,0.0
TIMP2,Control,104,1,23712,0.004217273954116059
CD63,Control,103,1,23712,0.004217273954116059
IRF4,Control,103,0,23712,0.0
ST6GALNAC2,Control,102,0,23712,0.0
CCND2,Control,100,0,23712,0.0
GPATCH4,Control,100,0,23712,0.0
XAGE1A,Control,99,0,23712,0.0
JPT1,Control,99,1,23712,0.004217273954116059
HLA-B,Control,98,0,23712,0.0
E2F1,Control,97,0,23712,0.0
CST3,Control,95,0,23712,0.0
BOLA2B,Control,95,0,23712,0.0
MT2A,Control,95,0,23712,0.0
HLA-C,Control,94,1,23712,0.004217273954116059
SSR2,Control,93,2,23712,0.008434547908232119
TIMM50,Control,92,0,23712,0.0
GSEC,Control,91,0,23712,0.0
SLC19A1,Control,87,0,23712,0.0
CCND1,Control,86,5,23712,0.021086369770580298
BOLA2,Control,85,0,23712,0.0
NDUFA13,Control,81,0,23712,0.0
UQCRFS1,Control,80,1,23712,0.004217273954116059
C1QBP,Control,79,2,23712,0.008434547908232119
DDX39A,Control,75,0,23712,0.0
ACSL3,Control,72,1,23712,0.004217273954116059
MRPL47,Control,70,8,23712,0.033738191632928474
P2RX4,Control,69,0,23712,0.0
PET100,Control,69,0,23712,0.0
PFN1,Control,66,0,23712,0.0
RNASEH2A,Control,65,0,23712,0.0
UQCRH,Control,60,1,23712,0.004217273954116059
HASPIN,Control,60,0,23712,0.0
CTPS1,Control,56,26,23712,0.10964912280701754
NOLC1,Control,56,0,23712,0.0
RPSA,Control,55,0,23712,0.0
UBC,Control,55,0,23712,0.0
SINHCAF,Control,55,0,23712,0.0
FBL,Control,52,0,23712,0.0
DNMT1,Control,51,0,23712,0.0
TMED10,Control,51,0,23712,0.0
CDK6,Control,51,7,23712,0.029520917678812417
PAICS,Control,48,0,23712,0.0
PUF60,Control,45,0,23712,0.0
TPRKB,Control,45,0,23712,0.0
FOXM1,Control,43,0,23712,0.0
PABPC1,Control,42,10,23712,0.042172739541160596
HNRNPC,Control,40,0,23712,0.0
CDC123,Control,39,0,23712,0.0
ILF2,Control,33,0,23712,0.0
POLD2,Control,32,0,23712,0.0
ROMO1,Control,32,0,23712,0.0
NCL,Control,31,0,23712,0.0
MYC,Control,31,0,23712,0.0
EIF4A1,Control,30,0,23712,0.0
RRS1,Control,26,0,23712,0.0
CCT3,Control,26,0,23712,0.0
PPA1,Control,25,0,23712,0.0
GPI,Control,23,0,23712,0.0
PRELID3B,Control,23,0,23712,0.0
EEF1G,Control,21,0,23712,0.0
SAE1,Control,21,0,23712,0.0
MFGE8,IFNγ,315,0,23712,0.0
SLC22A18,IFNγ,306,0,23712,0.0
FGFR1,IFNγ,288,0,23712,0.0
